timestamp,inference_time,end_to_end_time
2025-03-26T17:18:32.971693,158,425
2025-03-26T17:18:33.071873,158,425
2025-03-26T17:18:33.172092,252,423
2025-03-26T17:18:33.272390,252,550
2025-03-26T17:18:33.372568,252,550
2025-03-26T17:18:33.472755,252,704
2025-03-26T17:18:33.572987,356,693
2025-03-26T17:18:33.673344,356,818
2025-03-26T17:18:33.773504,356,818
2025-03-26T17:18:33.873767,356,961
2025-03-26T17:18:33.974063,353,684
2025-03-26T17:18:34.074264,353,684
2025-03-26T17:18:34.174410,291,441
2025-03-26T17:18:34.274580,291,554
2025-03-26T17:18:34.374831,291,692
2025-03-26T17:18:34.475031,291,692
2025-03-26T17:18:34.575535,291,846
2025-03-26T17:18:34.676964,517,678
2025-03-26T17:18:34.777120,517,816
2025-03-26T17:18:34.877254,517,816
2025-03-26T17:18:34.977506,517,927
2025-03-26T17:18:35.078557,434,593
2025-03-26T17:18:35.178730,434,593
2025-03-26T17:18:35.278953,434,753
2025-03-26T17:18:35.379239,434,875
2025-03-26T17:18:35.479469,434,1009
2025-03-26T17:18:35.579678,434,1009
2025-03-26T17:18:35.679911,468,736
2025-03-26T17:18:35.780070,468,902
2025-03-26T17:18:35.880240,468,1025
2025-03-26T17:18:35.980405,468,1025
2025-03-26T17:18:36.080614,373,581
2025-03-26T17:18:36.180769,373,736
2025-03-26T17:18:36.280937,373,736
2025-03-26T17:18:36.381104,373,849
2025-03-26T17:18:36.481260,441,702
2025-03-26T17:18:36.581442,441,863
2025-03-26T17:18:36.681616,441,863
2025-03-26T17:18:36.781857,441,980
2025-03-26T17:18:36.882037,497,687
2025-03-26T17:18:36.982228,497,687
2025-03-26T17:18:37.082383,497,833
2025-03-26T17:18:37.183241,497,964
2025-03-26T17:18:37.283462,400,575
2025-03-26T17:18:37.383631,400,575
2025-03-26T17:18:37.483837,400,726
2025-03-26T17:18:37.584101,400,832
2025-03-26T17:18:37.684378,377,510
2025-03-26T17:18:37.784551,377,510
2025-03-26T17:18:37.884744,377,652
2025-03-26T17:18:37.985035,377,780
2025-03-26T17:18:38.085224,432,783
2025-03-26T17:18:38.185375,432,783
2025-03-26T17:18:38.285604,432,928
2025-03-26T17:18:38.385909,432,1067
2025-03-26T17:18:38.486080,432,1067
2025-03-26T17:18:38.586302,408,671
2025-03-26T17:18:38.686487,408,814
2025-03-26T17:18:38.786805,408,953
2025-03-26T17:18:38.886983,408,953
2025-03-26T17:18:38.987233,397,681
2025-03-26T17:18:39.087615,397,800
2025-03-26T17:18:39.187785,397,800
2025-03-26T17:18:39.288023,397,936
2025-03-26T17:18:39.388247,450,560
2025-03-26T17:18:39.488389,450,707
2025-03-26T17:18:39.589574,450,707
2025-03-26T17:18:39.689857,450,858
2025-03-26T17:18:39.790443,450,973
2025-03-26T17:18:39.890756,450,1106
2025-03-26T17:18:39.990938,450,1106
2025-03-26T17:18:40.091287,553,881
2025-03-26T17:18:40.191400,553,1012
2025-03-26T17:18:40.291538,553,1012
2025-03-26T17:18:40.391776,553,1160
2025-03-26T17:18:40.492089,453,655
2025-03-26T17:18:40.592301,453,810
2025-03-26T17:18:40.692517,453,810
2025-03-26T17:18:40.792732,365,526
2025-03-26T17:18:40.892934,365,652
2025-03-26T17:18:40.993114,365,788
2025-03-26T17:18:41.093319,365,788
2025-03-26T17:18:41.193603,416,608
2025-03-26T17:18:41.293783,416,738
2025-03-26T17:18:41.393927,416,738
2025-03-26T17:18:41.494097,416,867
2025-03-26T17:18:41.594308,392,515
2025-03-26T17:18:41.694491,392,655
2025-03-26T17:18:41.794647,392,655
2025-03-26T17:18:41.894838,301,671
2025-03-26T17:18:41.995281,301,812
2025-03-26T17:18:42.095429,301,812
2025-03-26T17:18:42.195588,301,935
2025-03-26T17:18:42.295815,404,665
2025-03-26T17:18:42.396007,404,816
2025-03-26T17:18:42.496178,404,816
2025-03-26T17:18:42.596779,404,932
2025-03-26T17:18:42.697094,403,542
2025-03-26T17:18:42.797218,403,696
2025-03-26T17:18:42.897357,403,696
